"image","n","p","frobenius","k","error","rel","cumvar","k95","k99","k999"
"image3",376,345,360.16523985526,44,29.8543912788518,0.0828908178114285,0.993129112322552,10,33,137
"image3",376,345,360.16523985526,45,29.4366442666164,0.0817309418267185,0.993320053148116,10,33,137
"image3",376,345,360.16523985526,46,29.0404091347023,0.0806307936500834,0.993498675115357,10,33,137
"image3",376,345,360.16523985526,47,28.6461383599641,0.079536099517755,0.993674008873501,10,33,137
"image3",376,345,360.16523985526,48,28.2769476347281,0.078511040227235,0.993836016562436,10,33,137
"image3",376,345,360.16523985526,49,27.9098610954298,0.0774918232160492,0.993995017334652,10,33,137
"image3",376,345,360.16523985526,50,27.5595066652094,0.0765190629620026,0.994144833003416,10,33,137
"image3",376,345,360.16523985526,51,27.2192117825711,0.0755742330756562,0.994288535295025,10,33,137
"image3",376,345,360.16523985526,52,26.8809588006579,0.074635072533542,0.994429605947912,10,33,137
"image3",376,345,360.16523985526,53,26.5438921154423,0.0736992057481992,0.994568427072084,10,33,137
"image3",376,345,360.16523985526,54,26.2158265388458,0.0727883305712155,0.994701858932655,10,33,137
"image3",376,345,360.16523985526,55,25.9053739059459,0.0719263577916527,0.994826599054826,10,33,137
"image3",376,345,360.16523985526,56,25.5926195866076,0.0710579943719514,0.994950761435835,10,33,137
"image3",376,345,360.16523985526,57,25.2996559684691,0.0702445799007041,0.995065698994573,10,33,137
"image3",376,345,360.16523985526,58,25.0044130867115,0.0694248370463513,0.995180192001087,10,33,137
"image3",376,345,360.16523985526,59,24.7199809341285,0.0686351102179174,0.995289221645373,10,33,137
"image3",376,345,360.16523985526,60,24.4426549902912,0.0678651138019703,0.995394326328645,10,33,137
"image3",376,345,360.16523985526,61,24.1709825541381,0.0671108143691259,0.995496138594712,10,33,137
"image3",376,345,360.16523985526,62,23.9026297381396,0.0663657318728075,0.995595589632986,10,33,137
"image3",376,345,360.16523985526,63,23.6417004168114,0.0656412607344126,0.995691224889196,10,33,137
"image3",376,345,360.16523985526,64,23.3854341280221,0.0649297365215477,0.995784129315241,10,33,137
"image3",376,345,360.16523985526,65,23.132882099471,0.0642285249647283,0.995874696580854,10,33,137
"image3",376,345,360.16523985526,66,22.886557894374,0.063544604980679,0.995962083177849,10,33,137
"image3",376,345,360.16523985526,67,22.6413778971707,0.0628638618936953,0.99604813486781,10,33,137
"image3",376,345,360.16523985526,68,22.3973516575888,0.0621863222186284,0.99613286132892,10,33,137
"image3",376,345,360.16523985526,69,22.1567802528132,0.0615183749040227,0.996215489549167,10,33,137
"image3",376,345,360.16523985526,70,21.9216470841912,0.0608655268703909,0.996295387638789,10,33,137
"image3",376,345,360.16523985526,71,21.6937905050464,0.0602328823119202,0.996371999888397,10,33,137
"image3",376,345,360.16523985526,72,21.4703954188646,0.059612625103669,0.996446334928248,10,33,137
"image3",376,345,360.16523985526,73,21.2460601436634,0.0589897574574425,0.996520208515111,10,33,137
"image3",376,345,360.16523985526,74,21.0251038335849,0.0583762715192457,0.99659221092351,10,33,137
"image3",376,345,360.16523985526,75,20.8138378493769,0.0577896908034251,0.996660351636844,10,33,137
"image3",376,345,360.16523985526,76,20.6052158457846,0.0572104511086777,0.99672696428394,10,33,137
"image3",376,345,360.16523985526,77,20.4009454621772,0.056643293701457,0.99679153727865,10,33,137
"image3",376,345,360.16523985526,78,20.1982759659601,0.0560805811634603,0.996854968416367,10,33,137
"image3",376,345,360.16523985526,79,19.9952690311779,0.0555169317261526,0.996917870291713,10,33,137
"image3",376,345,360.16523985526,80,19.7947618726805,0.0549602229261087,0.996979373895911,10,33,137
"image3",376,345,360.16523985526,81,19.5960240965013,0.0544084268220231,0.997039723090752,10,33,137
"image3",376,345,360.16523985526,82,19.3966033884029,0.0538547345551664,0.997099667565991,10,33,137
"image3",376,345,360.16523985526,83,19.19789340528,0.0533030156185951,0.997158788525963,10,33,137
"image3",376,345,360.16523985526,84,19.0063315009408,0.0527711433468118,0.997215206429869,10,33,137
"image3",376,345,360.16523985526,85,18.8189388434828,0.0522508470030188,0.997269848987466,10,33,137
"image3",376,345,360.16523985526,86,18.6340114142888,0.0517373953737934,0.997323241919935,10,33,137
"image3",376,345,360.16523985526,87,18.4525461308709,0.0512335564039616,0.997375122698201,10,33,137
"image3",376,345,360.16523985526,88,18.2706183796472,0.0507284333907115,0.997426626045723,10,33,137
"image3",376,345,360.16523985526,89,18.0911599292144,0.0502301663994134,0.997476930383486,10,33,137
"image3",376,345,360.16523985526,90,17.9165592943159,0.0497453871492874,0.997525396457366,10,33,137
"image3",376,345,360.16523985526,91,17.7459362229132,0.0492716516175873,0.997572304346874,10,33,137
